call_id,agent_id,call_date,call_duration,wait_time,call_status,converted,sale_amount,department,shift
1,A1,2026-01-01,370,178,missed,0,0,Sales,Morning
2,A10,2026-02-22,219,72,completed,0,0,Sales,Evening
3,A7,2026-01-17,629,121,completed,0,0,Sales,Evening
4,A8,2026-01-15,848,52,completed,0,0,Sales,Morning
5,A8,2026-02-11,112,99,completed,0,0,Support,Morning
6,A8,2026-01-11,80,104,completed,0,0,Support,Evening
7,A3,2026-02-06,236,126,completed,0,0,Support,Evening
8,A2,2026-02-04,862,154,missed,0,0,Support,Evening
9,A4,2026-01-23,594,137,completed,1,258,Sales,Morning
10,A1,2026-02-26,693,171,missed,0,0,Sales,Morning
11,A2,2026-01-11,481,50,missed,0,0,Support,Evening
12,A4,2026-01-29,722,34,completed,1,158,Support,Morning
13,A7,2026-02-20,234,100,missed,0,0,Sales,Evening
14,A7,2026-02-26,117,160,completed,0,0,Sales,Morning
15,A5,2026-02-17,752,76,completed,1,378,Support,Morning
16,A5,2026-03-01,679,176,completed,0,0,Sales,Evening
17,A1,2026-03-02,283,79,completed,0,0,Support,Evening
18,A9,2026-01-29,761,139,completed,1,156,Support,Evening
19,A4,2026-02-22,872,45,completed,1,274,Support,Evening
20,A4,2026-01-04,350,160,completed,0,0,Support,Evening
21,A1,2026-02-16,400,28,completed,1,473,Support,Morning
22,A9,2026-02-04,813,93,completed,0,0,Support,Morning
23,A7,2026-01-05,898,152,completed,1,152,Support,Morning
24,A1,2026-02-02,268,5,missed,0,0,Sales,Evening
25,A7,2026-02-23,572,67,missed,0,0,Support,Evening
26,A6,2026-01-11,660,135,completed,1,85,Support,Morning
27,A6,2026-01-05,90,69,missed,0,0,Support,Morning
28,A8,2026-01-07,182,90,completed,0,0,Support,Morning
29,A1,2026-01-17,94,82,completed,0,0,Sales,Morning
30,A3,2026-01-11,703,25,completed,0,0,Support,Morning
31,A1,2026-01-30,413,84,completed,0,0,Support,Morning
32,A2,2026-02-13,595,84,completed,1,135,Support,Evening
33,A6,2026-03-01,881,23,missed,0,0,Sales,Evening
34,A1,2026-02-26,453,15,completed,0,0,Support,Evening
35,A7,2026-02-17,834,164,completed,0,0,Sales,Morning
36,A6,2026-01-05,673,146,completed,0,0,Support,Morning
37,A3,2026-01-11,453,129,completed,0,0,Sales,Evening
38,A7,2026-02-01,585,18,completed,0,0,Sales,Evening
39,A6,2026-02-15,255,159,completed,0,0,Support,Morning
40,A10,2026-01-14,346,47,completed,0,0,Sales,Morning
41,A8,2026-01-08,778,79,missed,0,0,Sales,Morning
42,A2,2026-03-01,350,140,completed,0,0,Sales,Evening
43,A3,2026-01-13,406,70,completed,1,75,Sales,Evening
44,A8,2026-02-17,247,13,completed,1,262,Sales,Morning
45,A9,2026-02-03,91,68,missed,0,0,Support,Morning
46,A10,2026-02-15,328,117,missed,0,0,Sales,Morning
47,A4,2026-02-11,522,104,completed,0,0,Support,Morning
48,A3,2026-01-22,639,7,completed,0,0,Sales,Evening
49,A8,2026-01-19,809,48,completed,0,0,Sales,Evening
50,A6,2026-02-20,172,104,completed,0,0,Support,Evening
51,A1,2026-02-25,610,159,completed,1,330,Sales,Evening
52,A2,2026-02-20,819,157,missed,0,0,Support,Morning
53,A8,2026-02-03,147,127,completed,0,0,Sales,Morning
54,A1,2026-01-10,886,21,completed,1,123,Sales,Evening
55,A7,2026-02-11,879,63,completed,0,0,Support,Evening
56,A2,2026-01-06,287,81,completed,0,0,Support,Morning
57,A9,2026-01-25,527,120,completed,0,0,Sales,Morning
58,A2,2026-01-28,877,45,completed,1,92,Sales,Morning
59,A7,2026-02-11,340,27,completed,0,0,Sales,Morning
60,A7,2026-01-23,783,85,missed,0,0,Support,Morning
61,A5,2026-01-21,112,132,completed,0,0,Support,Morning
62,A10,2026-01-27,678,43,completed,0,0,Support,Morning
63,A1,2026-01-09,302,156,completed,1,361,Sales,Evening
64,A2,2026-01-15,518,65,completed,1,449,Sales,Morning
65,A5,2026-02-22,614,95,missed,0,0,Support,Morning
66,A9,2026-02-01,271,102,completed,0,0,Sales,Morning
67,A9,2026-01-06,146,138,completed,1,156,Support,Morning
68,A8,2026-01-04,810,20,completed,0,0,Support,Morning
69,A6,2026-01-14,811,89,completed,0,0,Sales,Evening
70,A10,2026-01-14,206,25,missed,0,0,Sales,Morning
71,A9,2026-03-01,524,158,completed,1,360,Sales,Evening
72,A8,2026-02-26,643,50,completed,0,0,Sales,Morning
73,A5,2026-02-20,322,91,completed,1,235,Support,Evening
74,A9,2026-02-11,343,165,completed,1,182,Support,Morning
75,A10,2026-01-06,280,163,missed,0,0,Sales,Evening
76,A10,2026-01-04,319,82,completed,0,0,Sales,Evening
77,A7,2026-01-19,141,81,completed,0,0,Sales,Evening
78,A1,2026-01-20,74,5,completed,1,227,Sales,Evening
79,A6,2026-01-28,610,146,completed,0,0,Support,Morning
80,A3,2026-02-14,264,139,completed,1,237,Sales,Morning
81,A6,2026-02-26,253,69,completed,0,0,Support,Morning
82,A2,2026-01-25,297,55,completed,0,0,Support,Evening
83,A10,2026-01-27,734,148,missed,0,0,Support,Evening
84,A8,2026-02-26,93,38,missed,0,0,Support,Morning
85,A8,2026-01-02,895,70,completed,0,0,Sales,Morning
86,A6,2026-01-11,574,102,completed,0,0,Sales,Morning
87,A7,2026-03-01,732,178,completed,1,287,Sales,Evening
88,A5,2026-02-02,888,12,completed,0,0,Sales,Evening
89,A9,2026-02-12,64,168,completed,0,0,Support,Evening
90,A7,2026-01-19,782,114,completed,0,0,Sales,Morning
91,A10,2026-01-02,163,109,completed,0,0,Support,Evening
92,A2,2026-02-28,461,85,missed,0,0,Sales,Evening
93,A4,2026-01-09,183,5,completed,0,0,Sales,Evening
94,A10,2026-01-08,776,104,completed,0,0,Support,Evening
95,A6,2026-01-16,200,84,missed,0,0,Sales,Evening
96,A6,2026-02-15,684,31,missed,0,0,Support,Evening
97,A1,2026-01-21,60,22,completed,0,0,Sales,Morning
98,A7,2026-01-13,363,180,missed,0,0,Support,Evening
99,A5,2026-01-20,622,167,missed,0,0,Sales,Morning
100,A3,2026-01-27,265,93,completed,0,0,Support,Morning
101,A4,2026-02-16,253,166,completed,0,0,Support,Evening
102,A9,2026-01-08,197,82,missed,0,0,Sales,Evening
103,A5,2026-01-31,553,87,completed,0,0,Sales,Morning
104,A1,2026-01-27,571,28,completed,0,0,Sales,Morning
105,A3,2026-02-15,64,60,completed,0,0,Sales,Evening
106,A9,2026-02-14,781,42,completed,1,258,Support,Morning
